,0
0,0.0
1,-120.61359837414155
2,-97.41329878342623
3,-380.31855350302817
4,-247.2409006815992
5,-225.38848006093536
6,-281.91573387043934
7,-198.92698939908243
8,-319.3361229243891
9,-247.12311367116848
10,-214.54758871266455
11,-230.54120664664953
12,-307.89010140899376
13,-79.74185761248935
14,-381.7405020438348
15,-184.65209782319184
16,-340.7199683092714
17,-418.83611166168197
18,-319.74836402940014
19,-175.19010077970188
20,-175.4588785707488
21,-189.85358684608548
22,-301.0393138760521
23,-165.93298264321822
24,-180.1991790551795
25,-184.4571034032399
26,-329.75754086223867
27,-123.91955549767607
28,-256.1064031369908
29,-321.7443735320803
30,-109.77461707063937
31,-91.8571303030355
32,-120.80875754589918
33,-59.14601784311657
34,-89.44566417879322
35,-64.81379533807116
36,-52.8631989902153
37,-28.872807708281144
38,-87.44409791382951
39,-51.68184738025567
40,-47.35141127757278
41,-92.9711920743016
42,-60.88543354644548
43,-74.26553094416997
44,-93.09579574387682
45,-42.54334641867128
46,-90.32842771556082
47,-63.5921193561163
48,-73.62809621862458
49,-67.71096422359908
50,-29.946577934119478
51,-6.200922189258736
52,-12.594359547802783
53,-8.371165854813723
54,-11.048929886487956
55,-25.012678635340905
56,2.458893306698058
57,-61.08952574845682
58,-58.55765670669148
59,-486.13730667696154
60,-22.16334761522265
61,-11.70062831320494
62,61.64949736016757
63,-57.66749743231004
64,-32.84839058314902
65,-46.22045533596545
66,-444.95871866497015
67,-245.59759160745014
68,-54.89812013344371
69,-23.108936931678787
70,-156.32940596351955
71,-54.74383985018382
72,-47.238133609471944
73,-28.65943119952442
74,-41.27158120174522
75,-69.75267164410927
76,-14.00788431926863
77,-34.49076016251783
78,-2.9816845393035702
79,-61.24445415374369
80,-64.02666587605665
81,-228.33007976238764
82,-53.71005322320066
83,-2.7395306861366118
84,0.6458060734221267
85,-34.33423960280617
86,-16.8870046808807
87,19.240066516390677
88,-5.774876016955816
89,138.97980690558478
90,-33.57594115198866
91,-46.47955576560083
92,-27.703227018727343
93,151.73919059087513
94,-37.52886341270747
95,37.779984802132276
96,-33.23737824071796
97,-12.991683573043382
98,23.48390431874602
99,-46.86914156081634
100,-10.126140750170446
101,-9.177329296464755
102,-58.48770705821981
103,27.955294531603005
104,197.0678803295331
105,-13.067386593654021
106,144.32358809267384
107,194.42670259882442
108,226.22487279388235
109,63.48901742038561
110,242.97594354040166
111,-82.85996535113789
112,168.77171022583366
113,128.19811717554757
114,-44.10874124279909
115,250.82246372956098
116,23.751574176372614
117,-210.29843407541125
118,-262.93135061913085
119,261.6763935460908
120,-224.4360083183604
121,94.24385397507943
122,186.28885652735664
123,245.24852440139702
124,242.47558570337952
125,242.06328710278405
126,236.11877671927
127,-23.786262962641146
128,252.12353394001994
129,247.25900258480243
130,270.18982113066653
131,192.34545048668784
132,254.22785157876868
133,21.329373860848406
134,229.98833231931195
135,222.68688221865992
136,308.42827163390564
137,276.24092038385305
138,240.89523588664562
139,221.6351057234831
140,-156.95042370356663
141,12.692019618601805
142,8.930769714679357
143,234.39770591412915
144,273.5264015800252
145,291.96310956320133
146,-212.7116665583997
147,255.13925669058588
148,238.62291239426884
149,217.220342892546
150,17.703251760230486
151,284.18302985536536
152,-60.329077763664046
153,-173.61154714783052
154,-194.04842282750514
155,-182.5188734233794
156,-392.43120185603937
157,239.48799892260223
158,-72.4637440024465
159,192.39438394587387
160,220.59719087762153
161,198.9184560608171
162,254.22478747167614
163,269.59734423036525
164,128.57401621729906
165,168.0213696241879
166,241.41129532008142
167,294.478894328541
168,261.4844918512316
169,-88.98636499302194
170,-69.88995182033992
171,-51.55716024703651
172,252.4105006296249
173,225.1362891848901
174,-66.6255790973467
175,214.8584620052286
176,7.953495346072458
177,230.90358690955696
178,263.3090494866687
179,295.09629028679313
180,252.70488610864183
181,-29.00671277716522
182,159.04178669249816
183,-30.985361527499165
184,15.406958710205373
185,244.34931741799628
186,8.404012604512758
187,-62.17418215592234
188,254.86238802823692
189,-1.240352382678168
190,205.98405751146987
191,169.46734203142864
192,-63.7113255010629
193,22.036549698753173
194,-27.048959995004935
195,265.9696647694991
196,-7.413606936870181
197,-57.06424676185321
198,-196.97433321812287
199,235.31999321587858
200,221.13275129930759
201,225.91780321330168
202,209.7262875701877
203,286.06254119366224
204,257.1240642614439
205,253.36268120367833
206,234.26981461745027
207,217.21227735136483
208,-7.7925590889790985
209,-62.383312891710325
210,247.336614269859
211,42.95264982399246
212,243.43958885724925
213,-32.38885154509258
214,229.13125008979574
215,26.665401190842346
216,233.02235342632787
217,-5.100371511147088
