,mean_reward_100_steps,steps
0,-375.40401169254056,79
1,-295.2499624229332,142
2,-256.062230027454,209
3,-231.46258055012362,314
4,-216.47652823828966,430
5,-213.6343085814491,531
6,-203.52291689863884,654
7,-187.83843240528296,719
8,-190.29135446679095,863
9,-181.34190918876183,996
10,-195.35781893344466,1080
11,-207.8002564887905,1147
12,-226.88487709725982,1243
13,-216.32094060687334,1366
14,-210.71095855639564,1457
15,-202.73819577806847,1561
16,-204.11085623314187,1779
17,-207.62478333430283,1881
18,-205.3750045225719,1990
19,-206.09682390710486,2083
20,-198.87877912968037,2167
21,-192.8725833824857,2264
22,-189.63779320664506,2488
23,-189.91532718286763,2628
24,-201.6060507013669,2804
25,-200.43330065799577,2938
26,-209.43578632652978,3040
27,-206.30430295233876,3170
28,-211.7769516063783,3266
29,-233.41553923730572,3443
30,-260.5665006741403,3678
31,-257.23230657248246,3770
32,-261.05504582481564,3872
33,-266.48652176697976,3982
34,-271.47531225413434,4132
35,-277.0048333078487,4279
36,-280.6255003198728,4355
37,-287.081704418806,4455
38,-291.1969059340904,4545
39,-292.27486220508536,4631
40,-286.80290329538315,4755
41,-287.97834834531255,4850
42,-292.46677576771657,4930
43,-289.8833498946895,5054
44,-296.7974225049904,5138
45,-326.0798605409298,5361
46,-327.813269517317,5448
47,-338.5436081922615,5627
48,-343.1295551753121,5712
49,-344.446046120083,5795
50,-348.4842344988867,5914
51,-351.06942169357086,5998
52,-354.0837794045467,6076
53,-368.14679183226605,6235
54,-370.14771908476126,6324
55,-376.0092203739318,6430
56,-378.0896645505496,6509
57,-396.6539914868413,6752
58,-400.3126978689784,6827
59,-403.35608454911596,6910
60,-408.65974772221875,7027
61,-411.7523405385997,7110
62,-424.95556187668745,7304
63,-426.43306459254114,7379
64,-440.58042616257814,7562
65,-445.20409902927355,7673
66,-450.86151115016463,7784
67,-456.7025611373475,7925
68,-460.53848811484625,8026
69,-465.19260408560905,8170
70,-480.3127080816501,8376
71,-483.78588651319245,8538
72,-483.4829686717847,8614
73,-482.4696092929137,8698
74,-491.0990746853715,8872
75,-492.493355985955,8968
76,-492.7612236051911,9060
77,-493.5896781985252,9152
78,-495.4999829436991,9254
79,-504.12443990223164,9405
80,-508.15741295968627,9540
81,-509.0178685308826,9614
82,-508.5142025886186,9694
83,-506.6287435092044,9786
84,-512.4510133877329,9940
85,-512.5531072071416,10012
86,-511.9369108162364,10089
87,-512.4784089324498,10160
88,-511.3137427624543,10252
89,-513.2671719044059,10366
90,-534.0669344214563,10635
91,-535.6273488005162,10733
92,-536.229116375755,10864
93,-536.7485880331957,10943
94,-536.777792437805,11019
95,-536.7463086250162,11105
96,-540.053031486892,11243
97,-540.3774062126317,11330
98,-540.336799088005,11407
99,-539.5285843019855,11496
100,-566.2933757894388,11811
101,-571.5604620123421,11916
102,-581.9259486504104,12084
103,-592.6184948560419,12247
104,-607.2813531102356,12435
105,-615.9046709295434,12593
106,-619.0987276066538,12674
107,-624.9967841469355,12778
108,-629.5201463663113,12881
109,-637.7458192563311,12994
110,-639.8302505689737,13084
111,-642.9895931114293,13218
112,-643.6993186604225,13291
113,-649.4930034452645,13391
114,-656.5538881908099,13504
115,-666.5284850263846,13653
116,-668.0798328974183,13757
117,-676.7506455951686,13941
118,-681.6625402315336,14048
119,-684.6338739683187,14144
120,-694.2483771682106,14310
121,-698.0731842600626,14384
122,-707.1458281227823,14548
123,-712.1573744189579,14655
124,-713.8233096031333,14749
125,-744.5332854000256,15081
126,-759.8973689678905,15321
127,-781.9505778592589,15567
128,-790.1681407448682,15715
129,-790.6889929833685,15838
130,-785.3659552342017,15914
131,-791.5339272447038,16074
132,-804.8873555432242,16276
133,-822.5721435556422,16521
134,-827.9864402911065,16676
135,-839.2994228562093,16900
136,-842.2591549059644,16996
137,-847.7426195371947,17141
138,-863.286709724896,17380
139,-866.0419589076146,17457
140,-873.9290311578065,17586
141,-880.1189477440822,17724
142,-880.7003296781086,17817
143,-883.7443771904476,17898
144,-881.5604924854385,17976
145,-870.0297995144373,18059
146,-871.4990908683599,18133
147,-881.6449489352962,18355
148,-886.1064414787111,18506
149,-888.2897011875616,18615
150,-895.4349962879563,18794
151,-894.9178959035369,18869
152,-900.6730485293607,19029
153,-895.9728780706984,19116
154,-895.8490522461955,19188
155,-898.7401617959747,19327
156,-899.5624537535051,19422
157,-890.6418157281782,19494
158,-891.6076220218233,19622
159,-891.681750527196,19703
160,-891.4098615687249,19821
161,-896.6679374885123,19974
162,-892.1924079852183,20075
163,-893.8471334609821,20187
164,-885.3062681461386,20280
165,-882.2112341809814,20368
166,-885.472068465768,20538
167,-883.9886469152513,20625
168,-881.4818391479125,20704
